,ts,actual,forecast,forecast_lower,forecast_upper
3446,2015-10-14,94.6914520263672,95.85188113231557,84.88568995414266,106.81807231048847
3447,2015-10-15,94.7419662475586,95.99465972492852,84.81562078572885,107.1736986641282
3448,2015-10-16,94.93133544921876,95.7927647618836,84.56998383819179,107.01554568557542
3449,2015-10-19,94.19275665283205,94.14005480419316,82.93190004872912,105.34820955965719
3450,2015-10-20,88.77678680419922,93.88646337418585,82.90501730121252,104.86790944715918
3451,2015-10-21,88.95352172851562,93.20064163014594,82.23934654893132,104.16193671136055
3452,2015-10-22,90.95455169677734,92.91260624936598,81.72352639083115,104.1016861079008
3453,2015-10-23,91.32695770263672,92.1912785555065,80.95757576307807,103.42498134793493
3454,2015-10-26,90.68309783935548,91.68183469179341,80.46289127344332,102.9007781101435
3455,2015-10-27,87.02197265625,91.80820177639163,80.82384356699768,102.79255998578557
3456,2015-10-28,88.89671325683594,91.36319813503896,80.39846306385331,102.3279332062246
3457,2015-10-29,88.71995544433594,91.5442167359575,80.35779915381359,102.73063431810142
3458,2015-10-30,88.42330932617188,91.3465655347732,80.1132593495295,102.57987172001691
3459,2015-11-02,88.60636901855469,91.57553988255921,80.35495436395084,102.79612540116759
3460,2015-11-03,89.55950927734375,92.49202529009492,81.50150216723452,103.48254841295531
3461,2015-11-04,89.40168762207031,92.97881049065857,82.01063526186482,103.94698571945233
3462,2015-11-05,88.3033676147461,93.61510183684501,82.42945429256362,104.80074938112641
3463,2015-11-06,88.08674621582031,93.83578390608928,82.60563709150108,105.06593072067747
3464,2015-11-09,86.21349334716797,94.46549949061067,83.11321364193766,105.81778533928367
3465,2015-11-10,86.31542205810547,95.95414322137741,84.83115183917737,107.07713460357745
3466,2015-11-11,86.02873992919922,95.06078655578898,83.96339653017856,106.1581765813994
3467,2015-11-12,84.76717376708984,92.1049810556472,80.78289285347533,103.42706925781907
3468,2015-11-13,83.94522094726562,92.80560353870038,81.43947348117024,104.17173359623052
3469,2015-11-16,85.19404602050781,94.99263392787945,83.78086100312039,106.20440685263851
3470,2015-11-17,85.2641372680664,95.42777772213837,84.44265131934063,106.41290412493612
3471,2015-11-18,86.53843688964844,94.52354239395258,83.55853436865158,105.48855041925358
3472,2015-11-19,87.1246337890625,93.87912275426449,82.69573542505707,105.0625100834719
3473,2015-11-20,88.24601745605469,93.6299224986219,82.40154562562444,104.85829937161935
3474,2015-11-23,88.22054290771484,94.4275912635928,83.21056762000478,105.64461490718082
3475,2015-11-24,88.30973052978516,95.43439367500682,84.34271730434335,106.52607004567028
3476,2015-11-25,87.92743682861328,94.69798141888901,83.62689903998796,105.76906379779007
3477,2015-11-26,,94.62278069424951,83.3314477471914,105.91411364130762
3478,2015-11-27,88.22054290771484,94.09054224786865,82.75496918622028,105.42611530951703
3479,2015-11-30,88.8321762084961,94.26488110102625,83.04725998628882,105.48250221576367
3480,2015-12-01,90.01729583740234,94.68092762458747,83.69121486642219,105.67064038275275
3481,2015-12-02,89.01060485839844,94.74053910521057,83.77288795975842,105.70819025066272
3482,2015-12-03,88.51362609863281,94.88620976829414,83.70634451538065,106.06607502120762
3483,2015-12-04,89.4757308959961,94.65733100715904,83.43415195150962,105.88051006280847
3484,2015-12-07,88.91503143310547,94.45525435588846,83.24697166672487,105.66353704505204
3485,2015-12-08,87.95929718017578,93.90391662251348,82.92216589912776,104.8856673458992
3486,2015-12-09,87.04179382324219,93.44206849508734,82.48042325637122,104.40371373380346
3487,2015-12-10,87.15010833740234,93.09575957357598,81.91648643294886,104.27503271420309
3488,2015-12-11,85.74198913574219,92.49805025732446,81.27475245956842,103.72134805508051
3489,2015-12-14,86.60850524902344,91.27991797884978,80.07132188268048,102.48851407501908
